total leaf samples: 4736
   samples    self%  frame
         3    0.06%  <core::net::ip_addr::Ipv4Addr as core::fmt::Display>::fmt
         3    0.06%  <alloc::sync::Arc<str>>::drop_slow
         3    0.06%  <tokio::runtime::scheduler::multi_thread::worker::Context>::park_internal
         3    0.06%  <arrow_buffer::bytes::Bytes>::capacity
         3    0.06%  core::ptr::drop_glue::<(<tokio::net::udp::UdpSocket>::recv_from::{closure#0}, <tokio::sync::watch::Receiver<bool>>::changed::{closure#0})>
         3    0.06%  logthing::ipfix::decoder::decode_datagram::{closure#0}
         3    0.06%  core::sync::atomic::atomic_or::<usize, usize>
         3    0.06%  ZSTD_compressBlock_doubleFast_noDict_generic
         3    0.06%  syscall
         2    0.04%  <tokio::runtime::scheduler::multi_thread::idle::Idle>::transition_worker_to_parked
         2    0.04%  <arrow_buffer::buffer::immutable::Buffer>::typed_data::<i32>
         2    0.04%  <tokio::io::ready::Ready>::from_interest
         2    0.04%  core::mem::replace::<isize>
         2    0.04%  <tokio::sync::notify::Notified as core::ops::drop::Drop>::drop
         2    0.04%  <chrono::datetime::DateTime<chrono::offset::utc::Utc>>::checked_add_signed
         2    0.04%  core::ptr::drop_glue::<arrow_array::builder::primitive_builder::PrimitiveBuilder<arrow_array::types::TimestampMicrosecondType>>
         2    0.04%  std::sys::alloc::unix::aligned_malloc
         2    0.04%  <u8>::_fmt_inner
         2    0.04%  <arrow_data::data::ArrayDataBuilder>::buffers
         2    0.04%  logthing::ipfix::decoder::set_addr_field
         2    0.04%  <alloc::vec::Vec<i64> as core::iter::traits::collect::FromIterator<i64>>::from_iter::<core::iter::adapters::map::Map<core::slice::iter::Iter<usize>, <parquet::column::writer::encoder::ColumnValueEncoderImpl<parquet::data_type::Int64Type> as parquet::column::writer::encoder::ColumnValueEncoder>::write_gather::{closure#0}>>
         2    0.04%  <tokio::runtime::io::driver::Driver>::turn
         2    0.04%  logthing::forwarding::buffered_writer::partition_time
         2    0.04%  <core::result::Result<arrow_array::record_batch::RecordBatch, anyhow::Error> as core::ops::try_trait::Try>::branch
         2    0.04%  <core::option::Option<arrow_buffer::buffer::null::NullBuffer>>::or_else::<<arrow_data::data::ArrayDataBuilder>::build_impl::{closure#0}>
         2    0.04%  <arrow_array::array::primitive_array::PrimitiveArray<arrow_array::types::UInt8Type> as core::convert::From<arrow_data::data::ArrayData>>::from
         2    0.04%  logthing::ipfix::decoder::ie_info
         2    0.04%  <core::fmt::Formatter>::pad_integral
         2    0.04%  <metrics::key::Key>::from_parts::<&str, alloc::vec::Vec<metrics::label::Label>>
         2    0.04%  <tokio::time::interval::Interval>::tick::{closure#0}::{closure#0}
         2    0.04%  tokio::task::coop::has_budget_remaining::{closure#0}
         2    0.04%  <arrow_buffer::buffer::immutable::Buffer>::as_slice
         2    0.04%  <alloc::raw_vec::RawVecInner>::try_allocate_in
         2    0.04%  <arrow_array::builder::generic_bytes_builder::GenericByteBuilder<arrow_array::types::GenericStringType<i32>>>::with_capacity
         2    0.04%  <alloc::collections::btree::map::IntoIter<alloc::string::String, serde_json::value::Value> as core::ops::drop::Drop>::drop
         2    0.04%  tokio::runtime::task::waker::clone_waker
         2    0.04%  <tokio::runtime::runtime::Runtime as core::ops::drop::Drop>::drop
         2    0.04%  <logthing::forwarding::buffered_writer::PartitionedParquetWriter<logthing::forwarding::ipfix_s3::IpfixSink>>::push::{closure#0}
         2    0.04%  <arrow_array::array::primitive_array::PrimitiveArray<arrow_array::types::TimestampMicrosecondType> as arrow_array::array::Array>::to_data
         2    0.04%  <tokio::runtime::task::core::TaskIdGuard as core::ops::drop::Drop>::drop
         2    0.04%  core::ptr::read::<alloc::collections::btree::map::BTreeMap<alloc::string::String, serde_json::value::Value>>
         2    0.04%  <chrono::naive::datetime::NaiveDateTime>::checked_add_offset
         2    0.04%  <core::fmt::Formatter>::pad_integral::write_prefix
