# format=hec shape=real duration=15s runs=3 transport=http port=5985
# server restarted between every run; hec_events_received/n/a/parquet_s3_dropped are per-run values (fresh process), not deltas.
run	format	shape	offered	achieved	received	kernel_drops	writer_drops	buffer_drops	written	kernel_loss_pct	total_loss_pct	gen_cores	srv_cores	verdict
3	hec	real	2587200	172419.1000	2587200	n/a	1765	0	2500000	n/a	0.0682	-0.00	2.99	PASS
# --- summary: format=hec shape=real rate=172500 runs=3 ---
median	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	hec	real	-	-	-	-	-	-	-	-	0.0682	-	-	-
# kernel-loss is not applicable for format=hec (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the RcvbufErrors reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# NOTE: parquet_s3_dropped{source="hec"} was non-zero on at least one run at rate=172500 -- a second, distinct drop site downstream of the kernel socket. Report it separately; do not fold it into the kernel loss figure above.
# rate=172500 median_loss=0.0000% median_achieved=172415.4000
# --- rate=173750 ---
1	hec	real	2606000	173662.8000	2606000	n/a	31984	0	2500000	n/a	1.2273	-0.00	3.03	FAIL-LOSS
2	hec	real	2606000	173680.4000	2606000	n/a	0	0	2600000	n/a	0.0000	-0.00	2.97	PASS
3	hec	real	2605800	173640.7000	2605800	n/a	0	0	2600000	n/a	0.0000	-0.00	2.94	PASS
# --- summary: format=hec shape=real rate=173750 runs=3 ---
median	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	hec	real	-	-	-	-	-	-	-	-	1.2273	-	-	-
# kernel-loss is not applicable for format=hec (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the RcvbufErrors reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# NOTE: parquet_s3_dropped{source="hec"} was non-zero on at least one run at rate=173750 -- a second, distinct drop site downstream of the kernel socket. Report it separately; do not fold it into the kernel loss figure above.
# rate=173750 median_loss=0.0000% median_achieved=173662.8000
CEILING 173750
artifacts (server logs): /tmp/tmp.dJttrEEkBt (removed on exit; rerun with TMP_ROOT preserved manually if needed for debugging)
